fiscal_year,grant_id,provider_name,provider_name_latest,responses_total,q1_1,q1_2,q1_3,q1_4,q1_5,top_2_count,top_2_pct
2018,14-TN-287,Catholic Charities Inc. (dba Catholic Charities of the Diocese of Memphis Inc.),Catholic Charities Inc (dba Catholic Charities of the Diocese of Memphis Inc),22,2,1,2,2,15,17,77.3
2018,14-TX-288,United States Veterans Initiative,United States Veterans Initiative,19,0,1,3,3,12,15,78.9
2018,14-TX-290,Neighborhood Centers Inc.,Neighborhood Centers Inc.,80,4,10,18,19,29,48,60.0
2018,14-TX-292,American GI Forum National Veterans Outreach Program Inc.,American GI Forum National Veterans Outreach Program Inc.,2,0,0,0,1,1,2,100.0
2018,14-TX-293,Sabine Valley Regional Mental Health Mental Retardation Center,Sabine Valley Regional Mental Health Mental Retardation Center,12,0,0,3,3,6,9,75.0
2018,14-VA-294,Total Action Against Poverty In Roanoke Valley,Total Action Against Poverty In Roanoke Valley,24,2,2,5,4,11,15,62.5
2018,14-VA-296,Hampton Roads Community Action Program Inc.,Hampton Roads Community Action Program Inc.,14,1,0,3,0,10,10,71.4
2018,14-VA-297,Virginia Beach Community Development Corporation,Virginia Beach Community Development Corporation,12,0,2,2,5,3,8,66.7
2018,14-VA-298,STOP Incorporated,STOP Incorporated,17,1,2,6,3,5,8,47.1
2018,14-VI-299,The Methodist Training and Outreach Center Inc.,The Methodist Training and Outreach Center Inc.,5,0,0,2,2,1,3,60.0
2018,14-WI-302,Indianhead Community Action Agency,Indianhead Community Action Agency,7,0,1,0,3,3,6,85.7
2018,14-WV-303,The Greater Wheeling Coalition for the Homeless Inc.,The Greater Wheeling Coalition for the Homeless Inc.,4,0,1,0,1,2,3,75.0
2018,14-WV-304,Helping Heroes Inc.,Helping Heroes Inc.,11,1,0,1,2,7,9,81.8
2018,14-WV-305,WVCAP,West Virginia Community Action Partnerships Inc,76,3,5,15,10,43,53,69.7
2018,14-ZZ-153,United Way of Central Alabama,United Way of Central Alabama,35,2,3,7,9,14,23,65.7
2018,14-ZZ-260,St. Vincent de Paul Social Services Inc.,St. Vincent de Paul Social Services Inc.,31,1,0,3,8,19,27,87.1
2018,14-ZZ-301,Goodwill Industries of The Inland Northwest,Goodwill Industries of The Inland Northwest,42,2,3,7,9,21,30,71.4
2018,14-ZZ-313,Housing Counseling Services Inc.,Housing Counseling Services Inc,28,3,1,5,6,13,19,67.9
2018,14-ZZ-314,United States Veterans Initiative,United States Veterans Initiative,20,2,3,3,2,10,12,60.0
2018,14-ZZ-317,Homeless Veterans Fellowship,Homeless Veterans Fellowship,17,0,1,0,4,12,16,94.1
2018,14-ZZ-318,Operation Renewed Hope,Operation Renewed Hope,14,3,0,2,2,7,9,64.3
2018,15-GA-325,Volunteers of America Southeast Inc.,Volunteers of America Southeast Inc,34,1,2,13,8,10,18,52.9
2018,15-GU-326,WestCare Pacific Islands Inc.,WestCare Pacific Islands Inc,22,0,0,1,3,18,21,95.5
2018,15-IA-192,Hawkeye Area Community Action Program Inc.,Hawkeye Area Community Action Program Inc,18,0,0,5,5,8,13,72.2
2018,15-IN-201,Volunteers of America of Indiana Inc.,Volunteers of America of Indiana Inc,42,2,5,7,8,20,28,66.7
2018,15-MI-328,Alger Marquette Community Action Board,Alger Marquette Community Action Board,6,0,0,2,2,2,4,66.7
2018,15-MO-330,Catholic Charities of Southern Missouri Inc.,Catholic Charities of Southern Missouri Inc,23,1,2,1,4,15,19,82.6
2018,15-OH-333,Lutheran Social Services of Central Ohio,Lutheran Social Services of Central Ohio,11,1,0,2,4,4,8,72.7
2018,15-PA-068,Commission on Economic Opportunity,Commission on Economic Opportunity,34,0,0,1,6,27,33,97.1
2018,15-PA-334,Veterans Multi-Service Center Inc.,Veterans Multi-Service Center Inc.,24,0,1,2,3,18,21,87.5
2018,15-TX-141,West Central Texas Regional Foundation,West Central Texas Regional Foundation,44,7,1,9,13,14,27,61.4
2018,15-UT-336,The Road Home,The Road Home,17,0,0,3,7,7,14,82.4
2018,15-WA-338,HopeSource,HopeSource,32,0,6,5,7,14,21,65.6
2018,15-ZZ-127,Transition Projects Inc.,Transition Projects Inc.,20,1,3,4,1,11,12,60.0
2018,15-ZZ-340,Chautauqua Opportunities Inc.,Chautauqua Opportunities Inc.,73,0,5,6,17,45,62,84.9
2018,16-CA-005,Mental Health America of Los Angeles,Mental Health America of Los Angeles,26,1,1,4,8,12,20,76.9
2018,16-CA-009,Vietnam Veterans of California Inc. (Sacramento Veterans Resource),Vietnam Veterans of California Inc. (Sacramento Veterans Resource),1,0,0,0,0,1,1,100.0
2018,16-MO-048,St. Patrick Center,St Patrick Center,112,4,2,11,18,77,95,84.8
2018,16-NJ-054,Community Hope Inc.,Community Hope Inc,57,1,1,8,12,35,47,82.5
2018,16-TX-074,Family Endeavors Inc.,Family Endeavors Inc.,1,0,0,0,0,1,1,100.0
2018,16-ZZ-036,Salvation Army an Illinois Corporation,Salvation Army an Illinois Corporation,1,0,0,1,0,0,0,0.0
2018,16-ZZ-037,Volunteers of America Mid-States Inc.,Volunteers of America Mid-States Inc,110,5,8,22,18,57,75,68.2
2018,16-ZZ-058,Soldier On Inc.,Soldier On Inc,62,4,5,22,10,21,31,50.0
2018,16-ZZ-278,Veterans Multi-Service Center Inc.,Veterans Multi-Service Center Inc.,69,4,5,12,23,25,48,69.6
2018,17-NE-052,Central Nebraska Community Services Inc.,Central Nebraska Community Services Inc.,9,0,0,1,6,2,8,88.9
2018,18-AR-086,St. Francis House Inc.,St. Francis House Inc.,38,3,1,6,9,19,28,73.7
2018,18-AZ-436,Community Bridges Inc.,Community Bridges Inc.,54,1,1,6,11,35,46,85.2
2018,18-CA-006,Volunteers of America of Los Angeles Inc.,Volunteers of America of Los Angeles Inc,61,5,6,9,18,23,41,67.2
2018,18-CA-008,United States Veterans Initiative,United States Veterans Initiative,31,5,2,5,2,17,19,61.3
2018,18-CA-009,Vietnam Veterans of California Inc. (Sacramento Veterans Resource),Vietnam Veterans of California Inc. (Sacramento Veterans Resource),44,1,4,7,11,21,32,72.7
2018,18-CA-011,WestCare California Inc.,WestCare California Inc,92,6,3,13,19,51,70,76.1
2018,18-CA-019,Community Catalysts of California,Community Catalysts of California,64,19,5,10,12,18,30,46.9
2018,18-CA-091,Swords To Plowshares Veterans Rights Organization,Swords To Plowshares Veterans Rights Organization,75,3,1,16,20,35,55,73.3
2018,18-CA-171,Lighthouse Treatment Center,Lighthouse Treatment Center,29,0,3,5,7,14,21,72.4
2018,18-CA-173,Vietnam Veterans of San Diego,Vietnam Veterans of San Diego,72,7,6,14,12,33,45,62.5
2018,18-CA-176,Volunteers of America of Los Angeles Inc.,Volunteers of America of Los Angeles Inc.,50,8,0,10,12,20,32,64.0
2018,18-CA-344,Homefirst Services Of Santa Clara County,Homefirst Services Of Santa Clara County,13,0,2,2,0,9,9,69.2
2018,18-CA-354,United States Veterans Initiative,United States Veterans Initiative,10,1,2,3,2,2,4,40.0
2018,18-CA-358,Community Action Partnership of San Luis Obispo County Inc.,Community Action Partnership of San Luis Obispo County Inc,11,1,1,0,2,7,9,81.8
2018,18-CA-359,Good Samaritan Shelter,Good Samaritan Shelter,10,1,0,0,3,6,9,90.0
2018,18-CA-412,Sunnyvale Community Services,Sunnyvale Community Services,1,0,0,0,0,1,1,100.0
2018,18-CA-414,Vietnam Veterans of California Inc. (Sacramento Veterans Resource),Vietnam Veterans of California Inc. (Sacramento Veterans Resource),5,1,0,0,1,3,4,80.0
2018,18-CA-419,The Salvation Army a California Corporation,The Salvation Army a California Corporation,28,3,3,2,7,13,20,71.4
2018,18-CA-420,Volunteers of America Southwest California Inc.,Volunteers of America Southwest California Inc,13,5,0,3,3,2,5,38.5
2018,18-CA-437,Berkeley Food and Housing Project,Berkeley Food and Housing Project,31,0,0,5,2,24,26,83.9
2018,18-CO-360,Volunteers of America Colorado Branch Inc.,Volunteers of America Colorado Branch Inc.,24,4,3,2,5,10,15,62.5
2018,18-CO-439,Volunteers of America Colorado Branch Inc.,Volunteers of America Colorado Branch Inc.,9,2,1,2,2,2,4,44.4
2018,18-FL-023,Homeless Services Network of Central Florida Inc.,Homeless Services Network of Central Florida Inc,82,10,8,7,10,47,57,69.5
2018,18-FL-099,Society of St. Vincent de Paul South Pinellas Inc.,Society of St. Vincent de Paul South Pinellas Inc.,149,9,10,21,32,77,109,73.2
2018,18-FL-187,Volunteers of America of Florida Inc.,Volunteers of America of Florida Inc,75,3,3,10,13,46,59,78.7
2018,18-FL-362,Tampa Crossroads Inc.,Tampa Crossroads Inc,76,4,1,8,14,49,63,82.9
2018,18-FL-364,The Salvation Army a Georgia Corporation,The Salvation Army a Georgia Corporation,4,0,0,1,1,2,3,75.0
2018,18-FL-368,Purpose Built Families Foundation,Purpose Built Families Foundation,110,10,5,17,25,53,78,70.9
2018,18-GA-369,Project Community Connections Inc.,Project Community Connections Inc.,20,4,2,2,5,7,12,60.0
2018,18-GA-370,Travelers Aid of Metropolitan Atlanta Inc.,Travelers Aid of Metropolitan Atlanta Inc.,19,4,2,3,5,5,10,52.6
2018,18-GA-438,Northwest Florida Comprehensive Services For Children Inc,Northwest Florida Comprehensive Services For Children Inc,32,1,1,7,7,16,23,71.9
2018,18-HI-190,United States Veterans Initiative,United States Veterans Initiative,58,4,2,8,12,32,44,75.9
2018,18-HI-374,Catholic Charities Hawaii,Catholic Charities Hawaii,13,0,2,3,1,7,8,61.5
2018,18-KY-379,Volunteers of America Mid-States Inc.,Volunteers of America Mid-States Inc,30,1,3,5,4,17,21,70.0
2018,18-MI-383,Volunteers of America Michigan Inc.,Volunteers of America Michigan Inc,19,0,1,5,5,8,13,68.4
2018,18-MN-046,Minnesota Assistance Council for Veterans,Minnesota Assistance Council for Veterans,26,0,0,6,5,15,20,76.9
2018,18-NC-235,Family Endeavors Inc.,Family Endeavors Inc.,111,12,7,23,25,44,69,62.2
2018,18-NC-237,Volunteers of America of the Carolinas Inc.,Volunteers of America of the Carolinas Inc.,92,2,6,12,16,56,72,78.3
2018,18-NC-387,Homeward Bound of Western North Carolina Inc.,Homeward Bound of Western North Carolina Inc,18,0,1,3,3,11,14,77.8
2018,18-NE-239,Blue Valley Community Action Inc.,Blue Valley Community Action Inc.,16,1,0,2,4,9,13,81.3
2018,18-NY-062,Services for the UnderServed Inc.,Services for the UnderServed Inc.,61,8,2,8,14,29,43,70.5
2018,18-OH-263,Talbert House Inc.,Talbert House Inc.,18,0,3,1,6,8,14,77.8
2018,18-OH-396,Volunteers of America of Greater Ohio,Volunteers of America of Greater Ohio,24,1,2,6,4,11,15,62.5
2018,18-OH-397,Volunteers of America of Greater Ohio,Volunteers of America of Greater Ohio,21,3,0,4,4,10,14,66.7
2018,18-OR-066,St. Vincent de Paul Society of Lane County Inc.,St Vincent de Paul Society of Lane County Inc,34,2,4,2,7,19,26,76.5
2018,18-OR-399,Transition Projects Inc.,Transition Projects Inc.,20,1,0,3,3,13,16,80.0
2018,18-OR-430,Community Action Partnership of Oregon,Community Action Partnership of Oregon,22,1,0,3,3,15,18,81.8
2018,18-PR-132,Casa del Peregrino Aguadilla Inc.,Casa del Peregrino Aguadilla Inc.,16,1,0,8,5,2,7,43.8
2018,18-SC-069,One-Eighty Place,One-Eighty Place ,44,6,3,8,7,20,27,61.4
2018,18-SC-402,Eastern Carolina Homelessness Organization Inc.,Eastern Carolina Homelessness Organization Inc.,22,0,2,3,10,7,17,77.3
2018,18-TN-403,Centerstone of Tennessee Inc.,Centerstone of Tennessee Inc.,42,1,0,3,8,30,38,90.5
2018,18-TX-074,Family Endeavors Inc.,Family Endeavors Inc,174,11,10,31,40,82,122,70.1
2018,18-TX-292,American GI Forum National Veterans Outreach Program Inc.,American GI Forum National Veterans Outreach Program Inc,116,11,11,27,19,48,67,57.8
2018,18-TX-404,Front Steps Inc.,Front Steps Inc.,15,2,0,3,4,6,10,66.7
2018,18-TX-433,Lubbock Mental Health and Retardation Center (dba Starcare),Lubbock Mental Health and Retardation Center (dba Starcare),27,0,1,1,3,22,25,92.6
2018,18-WA-078,Community Psychiatric Clinic Inc.,Community Psychiatric Clinic Inc.,32,0,1,5,5,21,26,81.3
2018,18-WA-146,Catholic Community Services of Western Washington,Catholic Community Services of Western Washington,23,0,2,9,4,8,12,52.2
2018,18-WA-300,Metropolitan Development Council,Metropolitan Development Council,34,1,3,6,8,16,24,70.6
2018,18-WA-408,Goodwill Industries of The Inland Northwest,Goodwill Industries of The Inland Northwest,28,1,1,6,2,18,20,71.4
2018,18-WI-080,Center For Veterans Issues Limited,Center For Veterans Issues Limited,61,6,2,6,14,33,47,77.0
2018,18-WI-411,Center For Veterans Issues Limited,Center For Veterans Issues Limited,18,2,2,1,6,7,13,72.2
2018,18-ZZ-020,Rocky Mountain Human Services (dba Denver Options Inc.),Rocky Mountain Human Services (dba Denver Options Inc.),117,17,8,30,30,32,62,53.0
2018,18-ZZ-034,Volunteers of America of Illinois,Volunteers of America of Illinois,23,1,2,5,6,9,15,65.2
2018,18-ZZ-036,The Salvation Army an Illinois Corporation,The Salvation Army an Illinois Corporation,55,5,5,7,10,28,38,69.1
2018,18-ZZ-094,Friendship Place,Friendship Place,38,3,5,8,9,13,22,57.9
2018,18-ZZ-113,Volunteers of America Northern Rockies,Volunteers of America Northern Rockies,244,8,6,14,38,178,216,88.5
2018,18-ZZ-324,Changing Homelessness Inc.,Changing Homelessness Inc.,99,5,7,22,14,51,65,65.7
2018,18-ZZ-386,Restart Inc,Restart Inc,44,2,3,2,10,27,37,84.1
2018,C15-CA-506A,Housing Resource Center of Monterey County,Housing Resource Center of Monterey County,4,0,0,1,0,3,3,75.0
2018,C15-CA-604A,California Veterans Assistance Foundation Inc.,California Veterans Assistance Foundation Inc.,15,1,0,1,1,12,13,86.7
2018,C15-CA-608A,United States Veterans Initiative,United States Veterans Initiative,3,0,0,0,1,2,3,100.0
2018,C15-CA-609A,United States Veterans Initiative,United States Veterans Initiative,1,0,0,1,0,0,0,0.0
2018,C15-FL-507A,Homeless Services Network of Central Florida Inc,Homeless Services Network of Central Florida Inc,1,0,0,1,0,0,0,0.0
2018,C15-GA-500B,Travelers Aid of Metropolitan Atlanta Inc.,Travelers Aid of Metropolitan Atlanta Inc.,1,0,1,0,0,0,0,0.0
2018,C15-IL-511A,Catholic Charities of the Archdiocese of Chicago,Catholic Charities of the Archdiocese of Chicago,3,1,0,1,0,1,1,33.3
2018,C15-MA-500A,Vietnam Veterans Workshop Inc.,Vietnam Veterans Workshop Inc.,19,2,3,3,5,6,11,57.9
2018,C15-MA-506A,Veterans Inc.,Veterans Inc.,2,0,0,0,0,2,2,100.0
2018,C15-NC-507A,Volunteers of America of the Carolinas Inc.,Volunteers of America of the Carolinas Inc.,60,4,2,6,8,40,48,80.0
2018,C15-NC-511B,Family Endeavors Inc.,Family Endeavors Inc.,4,0,1,1,2,0,2,50.0
2018,C15-NV-500B,United States Veterans Initiative,United States Veterans Initiative,5,0,0,0,0,5,5,100.0
2018,C15-NY-600B,HELP Social Service Corporation,HELP Social Service Corporation,25,2,3,5,8,7,15,60.0
2018,C15-OH-500A,Ohio Valley Goodwill Industries Rehabilitation Center Inc.,Ohio Valley Goodwill Industries Rehabilitation Center Inc.,3,1,0,0,1,1,2,66.7
2018,C15-OH-500B,Talbert House Inc.,Talbert House Inc.,12,0,2,2,4,4,8,66.7
2018,C15-OR-500A,St. Vincent de Paul Society of Lane County Inc.,St. Vincent de Paul Society of Lane County Inc.,1,0,0,1,0,0,0,0.0
2018,C15-PA-500A,Impact Services Corporation,Impact Services Corporation,1,0,0,0,0,1,1,100.0
2018,C15-TN-504A,Centerstone of Tennessee Inc.,Centerstone of Tennessee Inc.,1,0,0,0,0,1,1,100.0
2018,C15-TX-601A,Family Endeavors Inc.,Family Endeavors Inc.,1,1,0,0,0,0,0,0.0
2018,C15-WA-500A,Community Psychiatric Clinic,Community Psychiatric Clinic,2,0,0,0,0,2,2,100.0
2018,C15-WA-502A,Goodwill Industries of the Inland Northwest,Goodwill Industries of the Inland Northwest,1,0,0,0,0,1,1,100.0
2018,C15-WI-501A,Center for Veterans Issues Ltd.,Center for Veterans Issues Ltd.,1,0,0,0,0,1,1,100.0
2018,C2015-CA-500B,Sunnyvale Community Services,Sunnyvale Community Services,1,0,0,0,0,1,1,100.0
2018,C2015-CA-600A,Volunteers of America of Los Angeles Inc.,Volunteers of America of Los Angeles Inc.,1,0,1,0,0,0,0,0.0
2018,C2015-CA-600C,People Assisting the Homeless (PATH),People Assisting the Homeless (PATH),11,1,0,3,1,6,7,63.6
2018,C2015-CA-600E,Mental Health America of Los Angeles,Mental Health America of Los Angeles,25,2,1,5,5,12,17,68.0
2018,C2015-MT-500B,Volunteers of America Northern Rockies,Volunteers of America Northern Rockies,4,1,0,0,1,2,3,75.0
2018,C2015-NV-500D,HELP Social Service Corporation,HELP Social Service Corporation,26,5,3,6,4,8,12,46.2
2018,C2015-NV-500E,United States Veterans Initiative (dba U.S. VETS - Las Vegas),United States Veterans Initiative (dba U.S. VETS - Las Vegas),10,3,0,0,2,5,7,70.0
2018,C2015-OR-502B,Access,Access,29,1,1,3,4,20,24,82.8
2018,C2015-TX-607B,Volunteers of America Texas,Volunteers of America Texas,7,2,1,0,1,3,4,57.1
2018,C2015-TX-607H,Family Endeavors Inc.,Family Endeavors Inc.,1,0,0,0,0,1,1,100.0
2018,C2015-WA-501E,Metropolitan Development Council,Metropolitan Development Council,30,2,2,8,4,14,18,60.0
2017,12-AK-001,Catholic Social Services,Catholic Social Services,11,0,0,0,5,6,11,100.0
2017,12-AL-002,"Housing First, Inc.",Housing First Inc,5,0,0,1,1,3,4,80.0
2017,12-AZ-003,United Methodist Outreach Ministries,United Methodist Outreach Ministries,6,0,0,0,1,5,6,100.0
2017,12-AZ-004,Primavera Foundation,Primavera Foundation,9,0,1,1,3,4,7,77.8
2017,12-CA-006,"Volunteers of America of Los Angeles, Inc.","Volunteers of America of Los Angeles, Inc.",26,0,1,2,1,22,23,88.5
2017,12-CA-007,"New Directions, Inc.",New Directions Inc.,11,1,1,2,3,4,7,63.6
2017,12-CA-010,Emergency Housing Consortium of Santa Clara County,Homefirst Services Of Santa Clara County,7,3,0,0,3,1,4,57.1
2017,12-CA-011,"WestCare California, Inc.",WestCare California Inc.,30,0,0,2,6,22,28,93.3
2017,12-CA-013,Goodwill Industries of Santa Clara County,Goodwill of Silicon Valley (dba Goodwill Industries of Santa Clara County),21,0,0,1,3,17,20,95.2
2017,12-CA-014,PATH (People Assisting the Homeless),People Assisting The Homeless,10,0,1,1,3,5,8,80.0
2017,12-CA-015,InnVision Shelter Network (formerly Shelter Network of San Mateo),Lifemoves,11,1,1,1,3,5,8,72.7
2017,12-CA-016,"Shelter, Inc. of Contra Costa County",Shelter Inc of Contra Costa County,8,1,0,1,2,4,6,75.0
2017,12-CA-017,"Salvation Army, a California Corporation",The Salvation Army a California Corporation,12,1,2,3,3,3,6,50.0
2017,12-CA-018,"Volunteers of America of Greater Sacramento and Northern Nevada, Inc.",Volunteers of America of Greater Sacramento and Northern Nevada Inc,13,0,0,2,2,9,11,84.6
2017,12-CA-019,Community Catalysts of California,Community Catalysts of California,22,3,0,5,6,8,14,63.6
2017,12-CT-021,"Community Renewal Team, Inc.",Community Renewal Team Inc,8,0,2,3,0,3,3,37.5
2017,12-FL-023,"Homeless Services Network of Central Florida, Inc.","Homeless Services Network of Central Florida, Inc.",7,1,0,2,0,4,4,57.1
2017,12-FL-024,"Advocate Program, Inc.",Advocate Program Inc,32,1,0,5,4,22,26,81.3
2017,12-FL-025,"Carrfour Supportive Housing, Inc.",Purpose Built Families Foundation,102,4,4,11,20,63,83,81.4
2017,12-FL-028,"Jewish Family & Childrens Service of Sarasota-Manatee, Inc.",Jewish Family & Childrens Service Of The Suncoast Inc,12,1,1,2,1,7,8,66.7
2017,12-GA-029,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",Central Savannah River Area Economic Opportunity Authority Inc (CSRA EOA),6,0,0,1,1,4,5,83.3
2017,12-ID-032,"El-Ada, Inc.",El-Ada Inc,5,0,0,0,3,2,5,100.0
2017,12-IL-033,Thresholds,Thresholds,11,0,0,0,3,8,11,100.0
2017,12-IL-034,Volunteers of America of Illinois,Volunteers of America of Illinois,3,0,0,1,1,1,2,66.7
2017,12-IN-035,"United Way of Central Indiana, Inc.",United Way of Central Indiana Inc.,23,0,0,3,2,18,20,87.0
2017,12-LA-038,Volunteers of America of Greater New Orleans,Volunteers of America of Greater New Orleans,15,0,0,1,3,11,14,93.3
2017,12-LA-039,"Wellspring Alliance for Families, Inc.",Wellspring Alliance for Families Inc.,9,0,1,3,2,3,5,55.6
2017,12-MA-040,"Volunteers of America of Massachusetts, Inc.",Volunteers of America of Massachusetts Inc,12,2,1,0,4,5,9,75.0
2017,12-MD-042,"Alliance, Inc.",Alliance Inc,33,2,3,6,7,15,22,66.7
2017,12-ME-043,Preble Street,Preble Street,14,0,0,2,4,8,12,85.7
2017,12-MI-044,Wayne Metropolitan Community Action Agency,Wayne Metropolitan Community Action Agency,4,0,2,1,1,0,1,25.0
2017,12-MI-045,Southwest Counseling Solutions,Southwest Counseling Solutions,7,0,3,0,1,3,4,57.1
2017,12-MN-046,Minnesota Assistance Council for Veterans,Minnesota Assistance Council for Veterans,24,3,0,4,4,13,17,70.8
2017,12-NC-049,"United Way of Forsyth County, Inc.",United Way of Forsyth County Inc.,10,0,0,1,2,7,9,90.0
2017,12-NC-050,Passage Home Inc.,Passage Home Inc,5,0,1,0,2,2,4,80.0
2017,12-ND-051,North Dakota Coalition of Homeless People Inc.,Community Action Partnership of North Dakota,5,0,0,0,2,3,5,100.0
2017,12-NJ-053,"Catholic Charities Dioceses of Camden, Inc.",Catholic Charities Dioceses of Camden Inc,15,1,1,1,1,11,12,80.0
2017,12-NM-055,Goodwill Industries of New Mexico,Goodwill Industries of New Mexico,31,3,0,3,7,18,25,80.6
2017,12-NY-060,HELP Social Service Corporation,HELP Social Service Corporation,12,0,1,0,2,9,11,91.7
2017,12-NY-061,"Samaritan Village, Inc.",Samaritan Daytop Village Inc.,18,0,1,3,3,11,14,77.8
2017,12-NY-063,"Westchester Community Opportunity Program, Inc. (WestCOP)",Westchester Community Opportunity Program Inc. (WestCOP),17,1,0,2,3,11,14,82.4
2017,12-OH-064,FrontLine,Mental Health Services for Homeless Persons Inc  dba  FrontLine Service ,22,4,1,4,5,8,13,59.1
2017,12-OK-065,"Community Service Council of Greater Tulsa, Inc.",Community Service Council of Greater Tulsa Inc.,24,2,3,2,7,10,17,70.8
2017,12-OR-066,"St. Vincent de Paul Society of Lane County, Inc.",St. Vincent de Paul Society of Lane County Inc.,7,0,0,0,1,6,7,100.0
2017,12-PA-067,Project H.O.M.E.,Project H.O.M.E.,37,2,1,4,8,22,30,81.1
2017,12-SC-069,One-Eighty Place (formerly Crisis Ministries),One-Eighty Place (formerly Crisis Ministries),15,1,2,1,6,5,11,73.3
2017,12-TX-071,"Families in Crisis, Inc.",Families in Crisis Inc,12,1,0,0,2,9,11,91.7
2017,12-TX-072,Caritas of Austin,Caritas of Austin,4,0,0,2,1,1,2,50.0
2017,12-TX-075,"Catholic Charities Diocese of Fort Worth, Inc.",Catholic Charities Diocese of Fort Worth Inc.,22,2,0,4,6,10,16,72.7
2017,12-TX-076,"Career and Recovery Resources, Inc.",Career And Recovery Resources Inc,23,0,1,4,6,12,18,78.3
2017,12-VA-077,Virginia Supportive Housing,Virginia Supportive Housing,8,1,0,1,1,5,6,75.0
2017,12-WA-078,Community Psychiatric Clinic,Community Psychiatric Clinic,12,0,0,1,3,8,11,91.7
2017,12-WA-079,Opportunity Council,Opportunity Council,8,0,0,0,0,8,8,100.0
2017,12-WI-080,Center for Veterans Issues Limited,Center for Veterans Issues Ltd.,21,1,2,4,2,12,14,66.7
2017,12-ZZ-020,"Rocky Mountain Human Services (dba Denver Options, Inc.)","Rocky Mountain Human Services (dba Denver Options, Inc.)",29,2,2,8,6,11,17,58.6
2017,12-ZZ-026,"Northwest Florida Comprehensive Services for Children, Inc.",Northwest Florida Comprehensive Services For Children Inc,26,0,2,2,6,16,22,84.6
2017,12-ZZ-031,"Humility of Mary Shelter, Inc.",Humility of Mary Shelter Inc,11,0,2,3,2,4,6,54.5
2017,12-ZZ-041,Veterans  Inc.,Veterans Inc,24,0,0,1,3,20,23,95.8
2017,12-ZZ-070,Centerstone of Tennessee,Centerstone of Tennessee Inc.,22,0,0,0,2,20,22,100.0
2017,13-AR-086,"St. Francis House, Inc.","St. Francis House, Inc.",13,0,2,0,4,7,11,84.6
2017,13-AZ-087,American National Red Cross Southern Arizona Chapter,American National Red Cross Southern Arizona Chapter,39,2,1,1,7,28,35,89.7
2017,13-CA-090,"California Veterans Assistance Foundation, Inc.",California Veterans Assistance Foundation Inc,7,2,3,1,1,0,1,14.3
2017,13-CT-093,"The Workplace, Inc.",The Workplace Inc,17,1,2,0,5,9,14,82.4
2017,13-DE-095,"Connections Community Support Programs, Inc.",Connections Community Support Programs Inc.,13,0,2,1,2,8,10,76.9
2017,13-FL-096,"Faith, Hope, Love, Charity, Inc.",Faith Hope Love Charity Inc,41,4,1,3,13,20,33,80.5
2017,13-FL-098,Salvation Army a Georgia Corporation,Salvation Army a Georgia Corporation,3,0,0,0,2,1,3,100.0
2017,13-GA-101,Action Ministries Inc.,Action Ministries Inc.,12,1,1,4,0,6,6,50.0
2017,13-GA-102,"Decatur Cooperative Ministry, Inc.",Decatur Cooperative Ministry Inc.,23,1,1,4,4,13,17,73.9
2017,13-IA-103,"Primary Health Care, Inc.",Primary Health Care Inc,9,1,0,2,2,4,6,66.7
2017,13-IL-104,"Salvation Army, an Illinois Corporation",The Salvation Army an Illinois Corporation,30,2,1,6,6,15,21,70.0
2017,13-IL-105,"Heartland Human Care Services, Inc.",Heartland Human Care Services Inc,11,2,0,1,3,5,8,72.7
2017,13-IN-106,Community Action of Northeast Indiana,Community Action of Northeast Indiana Inc (dba Brightpoint) ,13,0,0,0,2,11,13,100.0
2017,13-MD-107,"Three Oaks Homeless Shelter, Inc.",Three Oaks Homeless Shelter Inc,15,0,1,1,3,10,13,86.7
2017,13-MI-108,Northwest Michigan Community Action Agency Inc.,Northwest Michigan Community Action Agency Inc,9,0,0,0,2,7,9,100.0
2017,13-MO-047,"Welcome Home, Inc.",Welcome Home Inc.,5,0,0,0,1,4,5,100.0
2017,13-MO-110,Catholic Charities of Kansas City - St Joseph  Inc.,Catholic Charities of Kansas City - St Joseph Inc,13,1,1,1,3,7,10,76.9
2017,13-MS-111,Region XII Commission on Mental Health & Retardation (Pine Belt Mental Health),Region XII Commission on Mental Health & Retardation (dba Pine Belt Mental Health),17,0,2,3,2,10,12,70.6
2017,13-NC-114,Asheville Buncombe Community Christian Ministry,Asheville-Buncombe Community Christian Ministry Inc.,8,1,0,0,1,6,7,87.5
2017,13-NH-115,Harbor Homes Inc,Harbor Homes Inc,12,0,0,2,3,7,10,83.3
2017,13-NV-056,U.S.VETS  Las Vegas,United States Veterans Initiative,29,1,4,8,6,10,16,55.2
2017,13-NV-117,"Vietnam Veterans of California, Inc. (Sacramento Veterans Resource)",Vietnam Veterans of California Inc (Sacramento Veterans Resource),17,3,2,2,5,5,10,58.8
2017,13-NV-118,"Salvation Army, a California Corporation",The Salvation Army a California Corporation,11,0,0,3,3,5,8,72.7
2017,13-NY-119,Catholic Charities of the Roman Catholic Diocese of Syracuse NY,Catholic Charities of the Roman Catholic Diocese of Syracuse NY,8,0,0,1,2,5,7,87.5
2017,13-NY-121,"Soldier On of Delaware, Inc.",Soldier On of Delaware Inc,10,1,1,2,2,4,6,60.0
